CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,CWE,Standard: 2022 CWE Top 25
642533,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/account-manage/role-master.ts,roleActivePermission,476,Rank-11
642329,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,processGenPublicData,476,Rank-11
642293,Logically dead code,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,processGenPublicData,561,None
642659,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,pathDetailCreate,476,Rank-11
642641,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,pathDetailCreate,476,Rank-11
642627,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,pathDetailCreate,476,Rank-11
642557,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2.controller.ts,pathDetailCapacityRequestManagementTranform,476,Rank-11
642311,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,pathDetailCapacityRequestManagement,476,Rank-11
642505,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,ofoOnce,476,Rank-11
642485,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,ofoAll,476,Rank-11
642423,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,ofoAll,476,Rank-11
642379,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,ofoAll,476,Rank-11
642428,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,offspecGasOnce,476,Rank-11
642492,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,offspecGasAll,476,Rank-11
642551,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,middleBooking,476,Rank-11
642464,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,middleBooking,476,Rank-11
642613,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/metering-management/metering-management.service.ts,meteringRetrievingMasterCheckLimit,476,Rank-11
642604,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/metering-management/metering-management.service.ts,meteredCompareAll,476,Rank-11
642525,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/tariff/tariff.service.ts,invoiceSent,476,Rank-11
642376,Logically dead code,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,intradayBaseInentoryFromWebService,561,None
