Issue ID,Type,File,Line,Component
41222,Property access or function call before check for null or undefined,/src/astos/astos.service.ts,210,Other
41223,Bad use of null-like value,/src/allocation/allocation.service.ts,1880,Other
41229,Property access or function call before check for null or undefined,/src/event/event.service.ts,26566,Other
41230,Bad use of null-like value,/src/planning-submission-file/planning-submission-file.service.ts,1642,Other
41234,Bad use of null-like value,/src/balancing/balancing.service.ts,11173,Other
41236,Bad use of null-like value,/src/daily-adjustment/daily-adjustment.service.ts,5247,Other
41237,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,480,Other
41239,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,4499,Other
41240,Bad use of null-like value,/src/balancing/balancing.service.ts,8206,Other
41241,Bad use of null-like value,/src/allocation/allocation.service.ts,3101,Other
41242,Property access or function call before check for null or undefined,/src/capacity/capacity.service.ts,535,Other
41257,Bad use of null-like value,/src/export-files/export-file-tariff-commodity.service.ts,194,Other
41258,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,10766,Other
41260,Bad use of null-like value,/src/summary-nomination-report/summary-nomination-report.service.ts,3420,Other
41261,Property access or function call before check for null or undefined,/src/capacity-v2/capacity-v2-2.service.ts,2621,Other
41262,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,4372,Other
41264,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,8124,Other
41265,Property access or function call before check for null or undefined,/src/parking-allocation/parking-allocation.service.ts,514,Other
41267,Bad use of null-like value,/src/bulletin-board/bulletin-board.service.ts,71,Other
41271,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,8180,Other
41274,Property access or function call before check for null or undefined,/src/event/event.service.ts,11115,Other
41275,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,148,Other
41280,Bad use of null-like value,/src/capacity/capacity.service.ts,7231,Other
41281,Bad use of null-like value,/src/capacity/capacity.service.ts,9889,Other
41283,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,15706,Other
41284,Bad use of null-like value,/src/planning-dashboard/planning-dashboard.service.ts,304,Other
41289,Bad use of null-like value,/src/export-files/export-files.service.ts,6417,Other
41290,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,6710,Other
41292,Property access or function call before check for null or undefined,/src/daily-adjustment/daily-adjustment.service.ts,3155,Other
41293,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,11353,Other
41294,Property access or function call before check for null or undefined,/src/event/event.service.ts,23513,Other
41296,Property access or function call before check for null or undefined,/src/allocation/allocation.controller.ts,169,Other
41297,Property access or function call before check for null or undefined,/src/common/utils/write-req.util.ts,8,Other
41301,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,165,Other
41302,Bad use of null-like value,/src/capacity/capacity.service.ts,9954,Other
41304,Property access or function call before check for null or undefined,/src/tariff/tariff.service.ts,1469,Other
41307,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,13325,Other
4s,Bad use of null-like value,/src/capacity/capacity.service.ts,6421,Other
41311,Bad use of null-like value,/src/planning-submission-file/planning-submission-file.service.ts,1642,Other
41312,Property access or function call before check for null or undefined,/src/daily-adjustment/daily-adjustment.service.ts,1124,Other
41314,Bad use of null-like value,/src/tariff/tariff.service.ts,1545,Other
41316,Property access or function call before check for null or undefined,/src/quality-evaluation/quality-evaluation.service.ts,298,Other
41317,Property access or function call before check for null or undefined,/src/tariff/tariff.service.ts,3278,Other
41318,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,226,Other
41319,Property access or function call before check for null or undefined,/src/use-it-or-lose-it/use-it-or-lose-it.service.ts,1095,Other
41320,Bad use of null-like value,/src/allocation/allocation.service.ts,2200,Other
41322,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,147,Other
41323,Property access or function call before check for null or undefined,/src/event/event.service.ts,955,Other
41324,Bad use of null-like value,/src/allocation/allocation.service.ts,3059,Other
41325,Property access or function call before check for null or undefined,/src/quality-planning/quality-planning.service.ts,1415,Other
41326,Property access or function call before check for null or undefined,/src/tariff/tariff.service.ts,97,Other
41328,Property access or function call before check for null or undefined,/src/event/event.service.ts,29621,Other
41331,Property access or function call before check for null or undefined,/src/release-uioli-summary-management/release-uioli-summary-management.service.ts,267,Other
41334,Property access or function call before check for null or undefined,/src/parking-allocation/parking-allocation.service.ts,59,Other
41338,Bad use of null-like value,/src/export-files/export-files.service.ts,6570,Other
41341,Property access or function call before check for null or undefined,/src/event/event.service.ts,6394,Other
41342,Bad use of null-like value,/src/quality-evaluation/quality-evaluation.service.ts,514,Other
41343,Bad use of null-like value,/src/daily-adjustment/daily-adjustment.service.ts,1598,Other
41345,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,14300,Other
41347,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,2783,Other
41350,Property access or function call before check for null or undefined,/src/event/event.service.ts,1308,Other
41352,Property access or function call before check for null or undefined,/src/account-manage/account-manage.service.ts,1148,Other
41354,Bad use of null-like value,/src/allocation/allocation.service.ts,7291,Other
41356,Bad use of null-like value,/src/event/event.service.ts,23749,Other
41357,Bad use of null-like value,/src/capacity/capacity.service.ts,10454,Other
41358,Bad use of null-like value,/src/metering-management/metering-management.service.ts,632,Other
41359,Property access or function call before check for null or undefined,/src/quality-planning/quality-planning.service.ts,1396,Other
41360,Property access or function call before check for null or undefined,/src/event/event.service.ts,20570,Other
41361,Bad use of null-like value,/src/allocation/allocation.service.ts,7275,Other
41362,Bad use of null-like value,/src/event/event.service.ts,10506,Other
41363,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,14684,Other
41366,Bad use of null-like value,/src/capacity-v2/capacity-v2.service.ts,3328,Other
41374,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,408,Other
41378,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,6905,Other
41381,Property access or function call before check for null or undefined,/src/capacity-v2/capacity-v2.service.ts,6962,Other
41382,Bad use of null-like value,/src/allocation/allocation.service.ts,4073,Other
41383,Property access or function call before check for null or undefined,/src/summary-nomination-report/summary-nomination-report.service.ts,2327,Other
41386,Bad use of null-like value,/src/export-files/export-files.service.ts,16005,Other
41388,Property access or function call before check for null or undefined,/src/event/event.service.ts,17898,Other
41389,Bad use of null-like value,/src/allocation/allocation.service.ts,7282,Other
41391,Bad use of null-like value,/src/export-files/export-files.service.ts,8340,Other
41398,Property access or function call before check for null or undefined,/src/event/event.service.ts,645,Other
41400,Property access or function call before check for null or undefined,/src/tariff/tariff.service.ts,388,Other
41401,Property access or function call before check for null or undefined,/src/event/event.service.ts,766,Other
41402,Property access or function call before check for null or undefined,/src/minimum-inventory-summary/minimum-inventory-summary.service.ts,440,Other
41403,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,78,Other
41405,Property access or function call before check for null or undefined,/src/parameter/user-guide.ts,237,Other
41406,Property access or function call before check for null or undefined,/src/export-files/export-file-tariff-commodity.service.ts,209,Other
41407,Bad use of null-like value,/src/event/event.service.ts,10177,Other
41410,Property access or function call before check for null or undefined,/src/summary-nomination-report/summary-nomination-report.service.ts,2709,Other
4Access,Property access or function call before check for null or undefined,/src/summary-nomination-report/summary-nomination-report.service.ts,1712,Other
41415,Property access or function call before check for null or undefined,/src/account-manage/role-master.ts,499,Other
41417,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,10564,Other
41418,Property access or function call before check for null or undefined,/src/upload-template-for-shipper/upload-template-for-shipper.service.ts,858,Other
41419,Property access or function call before check for null or undefined,/src/daily-adjustment/daily-adjustment.service.ts,1024,Other
41421,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,11423,Other
41425,Bad use of null-like value,/src/bulletin-board/bulletin-board.service.ts,1103,Other
41426,Property access or function call before check for null or undefined,/src/tariff/tariff.service.ts,297,Other
41427,Bad use of null-like value,/src/capacity/capacity.service.ts,5044,Other
41431,Property access or function call before check for null or undefined,/src/path-management/path-management.service.ts,43,Other
41432,Bad use of null-like value,/src/export-files/export-files.service.ts,8009,Other
41433,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,7888,Other
41438,Property access or function call before check for null or undefined,/src/planning-dashboard/planning-dashboard.service.ts,224,Other
41440,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,1071,Other
41444,Property access or function call before check for null or undefined,/src/event/event.service.ts,32926,Other
41447,Property access or function call before check for null or undefined,/src/capacity/capacity.controller.ts,150,Other
41450,Bad use of null-like value,/src/planning-submission-file/planning-submission-file.service.ts,1642,Other
41452,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,17709,Other
41453,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,7546,Other
41468,Property access or function call before check for null or undefined,/src/account-manage/account-manage.service.ts,761,Other
41469,Property access or function call before check for null or undefined,/src/event/event.service.ts,7908,Other
41471,Property access or function call before check for null or undefined,/src/event/event.service.ts,8282,Other
41472,Property access or function call before check for null or undefined,/src/event/event.service.ts,32070,Other
41475,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,12334,Other
41476,Bad use of null-like value,/src/export-files/export-files.service.ts,13826,Other
41478,Property access or function call before check for null or undefined,/src/quality-evaluation/quality-evaluation.service.ts,305,Other
41481,Bad use of null-like value,/src/capacity-v2/capacity-v2.service.ts,5169,Other
41483,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,6807,Other
41484,Bad use of null-like value,/src/bulletin-board/bulletin-board.service.ts,260,Other
41486,Property access or function call before check for null or undefined,/src/parking-allocation/parking-allocation.service.ts,273,Other
41487,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,7109,Other
41488,Property access or function call before check for null or undefined,/src/common/utils/allcation.util.ts,785,Other
41489,Property access or function call before check for null or undefined,/src/planning-dashboard/planning-dashboard.service.ts,91,Other
41490,Property access or function call before check for null or undefined,/src/event/event.service.ts,4796,Other
41492,Bad use of null-like value,/src/capacity/capacity.service.ts,7165,Other
41493,Property access or function call before check for null or undefined,/src/event/event.service.ts,6878,Other
41495,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,1651,Other
41496,Bad use of null-like value,/src/event/event.service.ts,1668,Other
41497,Property access or function call before check for null or undefined,/src/minimum-inventory-summary/minimum-inventory-summary.service.ts,230,Other
41501,Property access or function call before check for null or undefined,/src/event/event.service.ts,1694,Other
41503,Property access or function call before check for null or undefined,/src/planning-dashboard/planning-dashboard.service.ts,353,Other
41507,Property access or function call before check for null or undefined,/src/summary-nomination-report/summary-nomination-report.service.ts,2244,Other
41510,Property access or function call before check for null or undefined,/src/capacity/capacity.service.ts,7176,Other
41514,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,173,Other
41516,Property access or function call before check for null or undefined,/src/metering-management/metering-management.service.ts,1523,Other
41517,Property access or function call before check for null or undefined,/src/event/event.service.ts,24706,Other
41523,Property access or function call before check for null or undefined,/src/capacity-v2/capacity-v2.service.ts,5983,Other
41524,Property access or function call before check for null or undefined,/src/event/event.service.ts,460,Other
41525,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,243,Other
41527,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,4393,Other
41529,Property access or function call before check for null or undefined,/src/capacity-v2/capacity-v2-2.service.ts,4469,Other
41532,Property access or function call before check for null or undefined,/src/allocation/allocation.service.ts,6594,Other
41533,Bad use of null-like value,/src/export-files/export-file-tariff-commodity.service.ts,405,Other
41534,Property access or function call before check for null or undefined,/src/parking-allocation/parking-allocation.service.ts,283,Other
41537,Property access or function call before check for null or undefined,/src/tariff/tariff.service.ts,1063,Other
41539,Bad use of null-like value,/src/bulletin-board/bulletin-board.service.ts,128,Other
41546,Bad use of null-like value,/src/capacity/capacity.service.ts,10520,Other
41549,Property access or function call before check for null or undefined,/src/common/utils/balancing.util.ts,150,Other
41550,Property access or function call before check for null or undefined,/src/balancing/balancing.service.ts,3771,Other
41553,Property access or function call before check for null or undefined,/src/export-files/export-files.service.ts,15939,Other
41555,Bad use of null-like value,/src/capacity-v2/capacity-v2-2.service.ts,3198,Other
41557,Bad use of null-like value,/src/parking-allocation/parking-allocation.service.ts,530,Other
